,0
86,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_176.jpg
87,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_177.jpg
88,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_178.jpg
89,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_179.jpg
90,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_18.jpg
91,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_180.jpg
92,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_181.jpg
93,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_182.jpg
94,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_183.jpg
95,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_184.jpg
96,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_185.jpg
97,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_186.jpg
98,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_187.jpg
99,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_188.jpg
100,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_189.jpg
101,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_19.jpg
102,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_190.jpg
103,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_191.jpg
104,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_192.jpg
105,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_193.jpg
106,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_194.jpg
107,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_195.jpg
108,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_196.jpg
109,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_197.jpg
110,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_198.jpg
111,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_199.jpg
112,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_2.jpg
113,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_20.jpg
114,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_200.jpg
115,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_201.jpg
116,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_202.jpg
117,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_203.jpg
118,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_204.jpg
119,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_21.jpg
120,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_22.jpg
121,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_23.jpg
122,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_24.jpg
123,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_25.jpg
124,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_26.jpg
125,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_27.jpg
126,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_28.jpg
127,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_29.jpg
128,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_3.jpg
129,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_30.jpg
130,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_31.jpg
131,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_32.jpg
132,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_33.jpg
133,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_34.jpg
134,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_35.jpg
135,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_36.jpg
136,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_37.jpg
137,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_38.jpg
138,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_39.jpg
139,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_4.jpg
140,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_40.jpg
141,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_41.jpg
142,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_42.jpg
143,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_43.jpg
144,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_44.jpg
145,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_45.jpg
146,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_46.jpg
147,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_47.jpg
148,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_48.jpg
149,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_49.jpg
150,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_5.jpg
151,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_50.jpg
152,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_51.jpg
153,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_52.jpg
154,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_53.jpg
155,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_54.jpg
156,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_55.jpg
157,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_56.jpg
158,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_57.jpg
159,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_58.jpg
160,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_59.jpg
161,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_6.jpg
162,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_60.jpg
163,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_61.jpg
164,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_62.jpg
165,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_63.jpg
166,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_64.jpg
167,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_65.jpg
168,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_66.jpg
169,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_67.jpg
170,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_68.jpg
171,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_69.jpg
172,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_7.jpg
173,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_70.jpg
174,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_71.jpg
175,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_72.jpg
176,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_73.jpg
177,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_74.jpg
178,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_75.jpg
179,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_76.jpg
180,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_77.jpg
181,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_78.jpg
182,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_79.jpg
183,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_8.jpg
184,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_80.jpg
185,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_81.jpg
186,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_82.jpg
187,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_83.jpg
188,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_84.jpg
189,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_85.jpg
190,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_86.jpg
191,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_87.jpg
192,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_88.jpg
193,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_89.jpg
194,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_9.jpg
195,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_90.jpg
196,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_91.jpg
197,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_92.jpg
198,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_93.jpg
199,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_94.jpg
200,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_95.jpg
201,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_96.jpg
202,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_97.jpg
203,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_98.jpg
204,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_99.jpg
205,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_0.jpg
206,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_1.jpg
207,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_10.jpg
208,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_100.jpg
209,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_101.jpg
210,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_102.jpg
211,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_103.jpg
212,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_104.jpg
213,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_105.jpg
214,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_106.jpg
215,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_107.jpg
216,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_108.jpg
217,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_109.jpg
218,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_11.jpg
219,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_110.jpg
220,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_111.jpg
221,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_112.jpg
222,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_113.jpg
223,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_114.jpg
224,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_115.jpg
225,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_116.jpg
226,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_117.jpg
227,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_118.jpg
228,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_119.jpg
229,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_12.jpg
230,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_120.jpg
231,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_121.jpg
232,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_122.jpg
233,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_123.jpg
234,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_124.jpg
235,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_125.jpg
236,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_126.jpg
237,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_127.jpg
238,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_128.jpg
239,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_129.jpg
240,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_13.jpg
241,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_130.jpg
242,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_131.jpg
243,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_132.jpg
244,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_133.jpg
245,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_134.jpg
246,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_135.jpg
247,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_136.jpg
248,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_137.jpg
249,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_138.jpg
250,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_139.jpg
251,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_14.jpg
252,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_140.jpg
253,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_141.jpg
254,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_142.jpg
255,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_143.jpg
256,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_144.jpg
257,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_145.jpg
258,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_146.jpg
259,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_147.jpg
260,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_148.jpg
261,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_149.jpg
262,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_15.jpg
263,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_150.jpg
264,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_151.jpg
265,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_152.jpg
266,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_153.jpg
267,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_154.jpg
268,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_155.jpg
269,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_156.jpg
270,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_157.jpg
271,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_158.jpg
272,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_159.jpg
273,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_16.jpg
274,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_160.jpg
275,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_161.jpg
276,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_162.jpg
277,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_163.jpg
278,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_164.jpg
279,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_165.jpg
280,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_166.jpg
281,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_167.jpg
282,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_168.jpg
283,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_169.jpg
284,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_17.jpg
285,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_170.jpg
286,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_171.jpg
287,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_172.jpg
288,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_173.jpg
289,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_174.jpg
290,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_175.jpg
291,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_176.jpg
292,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_177.jpg
293,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_178.jpg
294,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_179.jpg
295,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_18.jpg
296,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_180.jpg
297,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_181.jpg
298,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_182.jpg
299,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_183.jpg
300,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_184.jpg
301,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_185.jpg
302,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_186.jpg
303,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_187.jpg
304,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_188.jpg
305,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_189.jpg
306,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_19.jpg
307,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_190.jpg
308,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_191.jpg
309,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_192.jpg
310,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_193.jpg
311,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_194.jpg
312,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_195.jpg
313,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_196.jpg
314,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_197.jpg
315,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_198.jpg
316,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_199.jpg
317,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_2.jpg
318,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_20.jpg
319,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_200.jpg
320,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_201.jpg
321,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_202.jpg
322,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_203.jpg
323,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_204.jpg
324,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_21.jpg
325,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_22.jpg
326,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_23.jpg
327,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_24.jpg
328,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_25.jpg
329,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_26.jpg
330,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_27.jpg
331,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_28.jpg
332,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_29.jpg
333,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_3.jpg
334,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_30.jpg
335,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_31.jpg
336,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_32.jpg
337,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_33.jpg
338,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_34.jpg
339,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_35.jpg
340,D:\Nepali_character_Recognisation\Nepali_Character_dataset\11\Img_36.jpg
