,path,class,label,Devanagari
34,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_129.jpg,1,ka,à¤•
35,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_13.jpg,1,ka,à¤•
36,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_130.jpg,1,ka,à¤•
37,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_131.jpg,1,ka,à¤•
38,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_132.jpg,1,ka,à¤•
39,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_133.jpg,1,ka,à¤•
40,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_134.jpg,1,ka,à¤•
41,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_135.jpg,1,ka,à¤•
42,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_136.jpg,1,ka,à¤•
43,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_137.jpg,1,ka,à¤•
44,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_138.jpg,1,ka,à¤•
45,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_139.jpg,1,ka,à¤•
46,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_14.jpg,1,ka,à¤•
47,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_140.jpg,1,ka,à¤•
48,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_141.jpg,1,ka,à¤•
49,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_142.jpg,1,ka,à¤•
50,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_143.jpg,1,ka,à¤•
51,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_144.jpg,1,ka,à¤•
52,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_145.jpg,1,ka,à¤•
53,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_146.jpg,1,ka,à¤•
54,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_147.jpg,1,ka,à¤•
55,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_148.jpg,1,ka,à¤•
56,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_149.jpg,1,ka,à¤•
57,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_15.jpg,1,ka,à¤•
58,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_150.jpg,1,ka,à¤•
59,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_151.jpg,1,ka,à¤•
60,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_152.jpg,1,ka,à¤•
61,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_153.jpg,1,ka,à¤•
62,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_154.jpg,1,ka,à¤•
63,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_155.jpg,1,ka,à¤•
64,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_156.jpg,1,ka,à¤•
65,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_157.jpg,1,ka,à¤•
66,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_158.jpg,1,ka,à¤•
67,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_159.jpg,1,ka,à¤•
68,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_16.jpg,1,ka,à¤•
69,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_160.jpg,1,ka,à¤•
70,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_161.jpg,1,ka,à¤•
71,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_162.jpg,1,ka,à¤•
72,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_163.jpg,1,ka,à¤•
73,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_164.jpg,1,ka,à¤•
74,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_165.jpg,1,ka,à¤•
75,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_166.jpg,1,ka,à¤•
76,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_167.jpg,1,ka,à¤•
77,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_168.jpg,1,ka,à¤•
78,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_169.jpg,1,ka,à¤•
79,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_17.jpg,1,ka,à¤•
80,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_170.jpg,1,ka,à¤•
81,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_171.jpg,1,ka,à¤•
82,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_172.jpg,1,ka,à¤•
83,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_173.jpg,1,ka,à¤•
84,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_174.jpg,1,ka,à¤•
85,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_175.jpg,1,ka,à¤•
86,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_176.jpg,1,ka,à¤•
87,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_177.jpg,1,ka,à¤•
88,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_178.jpg,1,ka,à¤•
89,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_179.jpg,1,ka,à¤•
90,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_18.jpg,1,ka,à¤•
91,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_180.jpg,1,ka,à¤•
92,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_181.jpg,1,ka,à¤•
93,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_182.jpg,1,ka,à¤•
94,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_183.jpg,1,ka,à¤•
95,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_184.jpg,1,ka,à¤•
96,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_185.jpg,1,ka,à¤•
97,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_186.jpg,1,ka,à¤•
98,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_187.jpg,1,ka,à¤•
99,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_188.jpg,1,ka,à¤•
100,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_189.jpg,1,ka,à¤•
101,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_19.jpg,1,ka,à¤•
102,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_190.jpg,1,ka,à¤•
103,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_191.jpg,1,ka,à¤•
104,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_192.jpg,1,ka,à¤•
105,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_193.jpg,1,ka,à¤•
106,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_194.jpg,1,ka,à¤•
107,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_195.jpg,1,ka,à¤•
108,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_196.jpg,1,ka,à¤•
109,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_197.jpg,1,ka,à¤•
110,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_198.jpg,1,ka,à¤•
111,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_199.jpg,1,ka,à¤•
112,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_2.jpg,1,ka,à¤•
113,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_20.jpg,1,ka,à¤•
114,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_200.jpg,1,ka,à¤•
115,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_201.jpg,1,ka,à¤•
116,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_202.jpg,1,ka,à¤•
117,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_203.jpg,1,ka,à¤•
118,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_204.jpg,1,ka,à¤•
119,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_21.jpg,1,ka,à¤•
120,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_22.jpg,1,ka,à¤•
121,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_23.jpg,1,ka,à¤•
122,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_24.jpg,1,ka,à¤•
123,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_25.jpg,1,ka,à¤•
124,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_26.jpg,1,ka,à¤•
125,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_27.jpg,1,ka,à¤•
126,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_28.jpg,1,ka,à¤•
127,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_29.jpg,1,ka,à¤•
128,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_3.jpg,1,ka,à¤•
129,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_30.jpg,1,ka,à¤•
130,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_31.jpg,1,ka,à¤•
131,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_32.jpg,1,ka,à¤•
132,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_33.jpg,1,ka,à¤•
133,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_34.jpg,1,ka,à¤•
134,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_35.jpg,1,ka,à¤•
135,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_36.jpg,1,ka,à¤•
136,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_37.jpg,1,ka,à¤•
137,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_38.jpg,1,ka,à¤•
138,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_39.jpg,1,ka,à¤•
139,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_4.jpg,1,ka,à¤•
140,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_40.jpg,1,ka,à¤•
141,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_41.jpg,1,ka,à¤•
142,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_42.jpg,1,ka,à¤•
143,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_43.jpg,1,ka,à¤•
144,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_44.jpg,1,ka,à¤•
145,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_45.jpg,1,ka,à¤•
146,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_46.jpg,1,ka,à¤•
147,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_47.jpg,1,ka,à¤•
148,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_48.jpg,1,ka,à¤•
149,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_49.jpg,1,ka,à¤•
150,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_5.jpg,1,ka,à¤•
151,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_50.jpg,1,ka,à¤•
152,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_51.jpg,1,ka,à¤•
153,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_52.jpg,1,ka,à¤•
154,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_53.jpg,1,ka,à¤•
155,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_54.jpg,1,ka,à¤•
156,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_55.jpg,1,ka,à¤•
157,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_56.jpg,1,ka,à¤•
158,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_57.jpg,1,ka,à¤•
159,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_58.jpg,1,ka,à¤•
160,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_59.jpg,1,ka,à¤•
161,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_6.jpg,1,ka,à¤•
162,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_60.jpg,1,ka,à¤•
163,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_61.jpg,1,ka,à¤•
164,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_62.jpg,1,ka,à¤•
165,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_63.jpg,1,ka,à¤•
166,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_64.jpg,1,ka,à¤•
167,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_65.jpg,1,ka,à¤•
168,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_66.jpg,1,ka,à¤•
169,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_67.jpg,1,ka,à¤•
170,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_68.jpg,1,ka,à¤•
171,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_69.jpg,1,ka,à¤•
172,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_7.jpg,1,ka,à¤•
173,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_70.jpg,1,ka,à¤•
174,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_71.jpg,1,ka,à¤•
175,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_72.jpg,1,ka,à¤•
176,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_73.jpg,1,ka,à¤•
177,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_74.jpg,1,ka,à¤•
178,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_75.jpg,1,ka,à¤•
179,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_76.jpg,1,ka,à¤•
180,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_77.jpg,1,ka,à¤•
181,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_78.jpg,1,ka,à¤•
182,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_79.jpg,1,ka,à¤•
183,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_8.jpg,1,ka,à¤•
184,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_80.jpg,1,ka,à¤•
185,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_81.jpg,1,ka,à¤•
186,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_82.jpg,1,ka,à¤•
187,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_83.jpg,1,ka,à¤•
188,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_84.jpg,1,ka,à¤•
189,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_85.jpg,1,ka,à¤•
190,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_86.jpg,1,ka,à¤•
191,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_87.jpg,1,ka,à¤•
192,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_88.jpg,1,ka,à¤•
193,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_89.jpg,1,ka,à¤•
194,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_9.jpg,1,ka,à¤•
195,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_90.jpg,1,ka,à¤•
196,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_91.jpg,1,ka,à¤•
197,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_92.jpg,1,ka,à¤•
198,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_93.jpg,1,ka,à¤•
199,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_94.jpg,1,ka,à¤•
200,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_95.jpg,1,ka,à¤•
201,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_96.jpg,1,ka,à¤•
202,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_97.jpg,1,ka,à¤•
203,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_98.jpg,1,ka,à¤•
204,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_99.jpg,1,ka,à¤•
205,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_0.jpg,2,kha,à¤–
206,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_1.jpg,2,kha,à¤–
207,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_10.jpg,2,kha,à¤–
208,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_100.jpg,2,kha,à¤–
209,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_101.jpg,2,kha,à¤–
210,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_102.jpg,2,kha,à¤–
211,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_103.jpg,2,kha,à¤–
212,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_104.jpg,2,kha,à¤–
213,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_105.jpg,2,kha,à¤–
214,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_106.jpg,2,kha,à¤–
215,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_107.jpg,2,kha,à¤–
216,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_108.jpg,2,kha,à¤–
217,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_109.jpg,2,kha,à¤–
218,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_11.jpg,2,kha,à¤–
219,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_110.jpg,2,kha,à¤–
220,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_111.jpg,2,kha,à¤–
221,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_112.jpg,2,kha,à¤–
222,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_113.jpg,2,kha,à¤–
223,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_114.jpg,2,kha,à¤–
224,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_115.jpg,2,kha,à¤–
225,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_116.jpg,2,kha,à¤–
226,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_117.jpg,2,kha,à¤–
227,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_118.jpg,2,kha,à¤–
228,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_119.jpg,2,kha,à¤–
229,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_12.jpg,2,kha,à¤–
230,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_120.jpg,2,kha,à¤–
231,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_121.jpg,2,kha,à¤–
232,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_122.jpg,2,kha,à¤–
233,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_123.jpg,2,kha,à¤–
234,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_124.jpg,2,kha,à¤–
235,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_125.jpg,2,kha,à¤–
236,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_126.jpg,2,kha,à¤–
237,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_127.jpg,2,kha,à¤–
238,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_128.jpg,2,kha,à¤–
239,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_129.jpg,2,kha,à¤–
240,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_13.jpg,2,kha,à¤–
241,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_130.jpg,2,kha,à¤–
242,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_131.jpg,2,kha,à¤–
243,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_132.jpg,2,kha,à¤–
244,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_133.jpg,2,kha,à¤–
245,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_134.jpg,2,kha,à¤–
246,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_135.jpg,2,kha,à¤–
247,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_136.jpg,2,kha,à¤–
248,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_137.jpg,2,kha,à¤–
249,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_138.jpg,2,kha,à¤–
250,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_139.jpg,2,kha,à¤–
251,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_14.jpg,2,kha,à¤–
252,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_140.jpg,2,kha,à¤–
253,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_141.jpg,2,kha,à¤–
254,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_142.jpg,2,kha,à¤–
255,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_143.jpg,2,kha,à¤–
256,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_144.jpg,2,kha,à¤–
257,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_145.jpg,2,kha,à¤–
258,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_146.jpg,2,kha,à¤–
259,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_147.jpg,2,kha,à¤–
260,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_148.jpg,2,kha,à¤–
261,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_149.jpg,2,kha,à¤–
262,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_15.jpg,2,kha,à¤–
263,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_150.jpg,2,kha,à¤–
264,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_151.jpg,2,kha,à¤–
265,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_152.jpg,2,kha,à¤–
266,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_153.jpg,2,kha,à¤–
267,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_154.jpg,2,kha,à¤–
268,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_155.jpg,2,kha,à¤–
269,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_156.jpg,2,kha,à¤–
270,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_157.jpg,2,kha,à¤–
271,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_158.jpg,2,kha,à¤–
272,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_159.jpg,2,kha,à¤–
273,D:\Nepali_character_Recognisation\Nepali_Character_dataset\02\Img_16.jpg,2,kha,à¤–
